MSA,msa.or.nonMSA,theme1,theme2,theme3,theme4,theme5,theme6,theme7,Total_population,n_counties,FIPS,ccvi
"Trenton-Princeton, NJ",msa,0.7186046512,0.9139534884,0.4279069767,0.3651162791,0.3976744186,0.4162790698,0.9906976744,368762,1,45940,0.7372093023
"Tucson, AZ",msa,0.8697674419,0.8976744186,0.8837209302,0.2697674419,0.6720930233,0.5372093023,0.3186046512,1019722,1,46060,0.8
"Tulsa, OK",msa,0.7069767442,0.6511627907,0.6627906977,0.6813953488,0.3511627907,0.811627907,0.6093023256,985233,7,46140,0.8046511628
"Tuscaloosa, AL",msa,0.6302325581,0.5744186047,0.7372093023,0.6418604651,0.9511627907,0.8418604651,0.2604651163,249824,4,46220,0.8558139535
"Twin Falls, ID",msa,0.4209302326,0.7139534884,0.2302325581,0.04651162791,0.2441860465,0.6139534884,0.08604651163,107097,2,46300,0.1627906977
"Tyler, TX",msa,0.9348837209,0.8627906977,0.7418604651,0.576744186,0.376744186,0.9488372093,0.623255814,225015,1,46340,0.9418604651
"Urban Honolulu, HI",msa,0.04418604651,0.9558139535,0.4046511628,0.1,0.1093023256,0.02325581395,0.9930232558,987638,1,46520,0.2209302326
UTAH (excluding all MSAs),nonMSA,0.311627907,0.3418604651,0.2372093023,0.07441860465,0.6976744186,0.2906976744,0.006976744186,322355,19,NA,0.08604651163
"Utica-Rome, NY",msa,0.3441860465,0.4186046512,0.7,0.676744186,0.711627907,0.8581395349,0.3372093023,293287,2,46540,0.6534883721
"Valdosta, GA",msa,0.988372093,0.6325581395,0.9046511628,0.4255813953,0.9465116279,0.4465116279,0.3395348837,144564,4,46660,0.8720930233
"Vallejo, CA",msa,0.4906976744,0.9348837209,0.4558139535,0.1860465116,0.7627906977,0.3627906977,0.8837209302,438530,1,46700,0.6790697674
VERMONT (excluding all MSAs),nonMSA,0.05581395349,0.01162790698,0.3255813953,0.4186046512,0.004651162791,0.09302325581,0.1325581395,406935,11,NA,0.002325581395
"Victoria, TX",msa,0.911627907,0.8697674419,0.8209302326,0.6348837209,0.6627906977,0.8139534884,0.2325581395,99501,2,47020,0.9279069767
"Vineland-Bridgeton, NJ",msa,0.9162790698,0.9325581395,0.988372093,0.5558139535,0.811627907,0.7976744186,0.7162790698,153400,1,47220,0.9953488372
VIRGINIA (excluding all MSAs),nonMSA,0.7279069767,0.1930232558,0.5023255814,0.8651162791,0.7674418605,0.4209302326,0.1581395349,1062651,52,NA,0.5069767442
"Virginia Beach-Norfolk-Newport News, VA-NC",msa,0.4558139535,0.6255813953,0.3209302326,0.4302325581,0.8418604651,0.2093023256,0.9325581395,1758598,19,47260,0.5558139535
"Visalia, CA",msa,0.9813953488,0.9860465116,0.7674418605,0.01395348837,0.9790697674,0.4511627907,0.2581395349,460477,1,47300,0.7953488372
"Waco, TX",msa,0.7930232558,0.8720930233,0.9465116279,0.3790697674,0.8441860465,0.9627906977,0.4813953488,265728,2,47380,0.9720930233
"Walla Walla, WA",msa,0.423255814,0.7930232558,0.6837209302,0.1279069767,0.3558139535,0.4372093023,0.1046511628,60236,1,47460,0.311627907
"Warner Robins, GA",msa,0.7790697674,0.7395348837,0.6488372093,0.376744186,0.9744186047,0.4720930233,0.7651162791,178648,2,47580,0.888372093
WASHINGTON (excluding all MSAs),nonMSA,0.5418604651,0.5046511628,0.4790697674,0.523255814,0.5302325581,0.223255814,0.06744186047,748682,20,NA,0.2930232558
"Washington-Arlington-Alexandria, DC-VA-MD-WV",msa,0.3,0.8558139535,0.1162790698,0.2279069767,0.5023255814,0.03255813953,0.9651162791,6151521,25,47900,0.3372093023
"Waterloo-Cedar Falls, IA",msa,0.1279069767,0.2837209302,0.1790697674,0.2790697674,0.223255814,0.9581395349,0.3581395349,170132,3,47940,0.1790697674
"Watertown-Fort Drum, NY",msa,0.2162790698,0.2162790698,0.9488372093,0.3930232558,0.9441860465,0.1,0.2418604651,114448,1,48060,0.3488372093
"Wausau-Weston, WI",msa,0.03488372093,0.188372093,0.03023255814,0.323255814,0.09302325581,0.9744186047,0.1790697674,163112,2,48140,0.06279069767
"Weirton-Steubenville, WV-OH",msa,0.3348837209,0.02558139535,0.5651162791,0.9418604651,0.1162790698,0.488372093,0.5604651163,119338,3,48260,0.3418604651
"Wenatchee, WA",msa,0.5744186047,0.8465116279,0.776744186,0.2348837209,0.4651162791,0.3976744186,0.04418604651,117128,2,48300,0.423255814
WEST VIRGINIA (excluding all MSAs),nonMSA,0.5906976744,0.006976744186,0.6860465116,0.9790697674,0.009302325581,0.0976744186,0.1279069767,653585,32,NA,0.1953488372
"Wheeling, WV-OH",msa,0.1674418605,0.002325581395,0.5069767442,0.9139534884,0.2674418605,0.3720930233,0.4348837209,142664,3,48540,0.2465116279
"Wichita Falls, TX",msa,0.7139534884,0.688372093,0.8860465116,0.4697674419,0.6813953488,0.876744186,0.3279069767,150994,3,48660,0.8627906977
"Wichita, KS",msa,0.4395348837,0.611627907,0.5418604651,0.276744186,0.1465116279,0.4906976744,0.5744186047,636295,4,48620,0.3534883721
"Williamsport, PA",msa,0.1906976744,0.04418604651,0.5837209302,0.5953488372,0.1790697674,0.9813953488,0.2534883721,114859,1,48700,0.288372093
"Wilmington, NC",msa,0.7302325581,0.4930232558,0.123255814,0.4860465116,0.9186046512,0.4790697674,0.7604651163,283251,2,48900,0.6302325581
"Winchester, VA-WV",msa,0.4534883721,0.3511627907,0.2930232558,0.5674418605,0.7697674419,0.3697674419,0.4279069767,136305,3,49020,0.4
"Winston-Salem, NC",msa,0.8162790698,0.6860465116,0.4953488372,0.6697674419,0.9069767442,0.7604651163,0.776744186,661798,5,49180,0.9511627907
WISCONSIN (excluding all MSAs),nonMSA,0.08604651163,0.1023255814,0.1465116279,0.5209302326,0.1697674419,0.8279069767,0.1186046512,1469490,45,NA,0.09069767442
"Worcester, MA-CT",msa,0.1627906977,0.7046511628,0.4418604651,0.3139534884,0.1534883721,0.3372093023,0.8488372093,938818,2,49340,0.3186046512
WYOMING (excluding all MSAs),nonMSA,0.2930232558,0.1906976744,0.3860465116,0.2209302326,0.07906976744,0.2837209302,0.002325581395,403534,21,NA,0.02790697674
"Yakima, WA",msa,0.9395348837,0.9511627907,0.8813953488,0.1209302326,0.8302325581,0.611627907,0.1418604651,249325,1,49420,0.8069767442
"York-Hanover, PA",msa,0.1744186047,0.3930232558,0.1744186047,0.4023255814,0.4488372093,0.7720930233,0.8581395349,444014,1,49620,0.3976744186
"Youngstown-Warren-Boardman, OH-PA",msa,0.411627907,0.1813953488,0.5,0.8837209302,0.2488372093,0.9069767442,0.7441860465,545488,3,49660,0.5697674419
"Yuba City, CA",msa,0.8953488372,0.9255813953,0.8627906977,0.05581395349,0.9279069767,0.4837209302,0.3744186047,171365,2,49700,0.8139534884
"Yuma, AZ",msa,0.9953488372,0.9813953488,0.9604651163,0.2465116279,0.8465116279,0.1302325581,0.07674418605,207829,1,49740,0.7395348837
